Nombre,Pistas,Dirección,Teléfono,Correo,Página Web,Plataforma de Reserva
"Imperial Padel","","C. Río Torviscal, 10, 45007, Toledo","+34925671268","","https://padelizados.es/es-es/i/347-imperial-padel/","N/A"
"Escuela Padel Carlos Revenga","","C. Río Jarama, 70, 45007, Toledo","","","https://padelizados.es/es-es/i/1021-escuela-padel-carlos-revenga/","N/A"
"CLUB DE PADEL Y TENIS LA NAVA","","URBANIZACION CALIPO-FADO KM.36 A-5, Toledo","","","https://padelizados.es/es-es/i/1522-club-de-padel-y-tenis-la-nava/","N/A"
